symbol,name,sector_name,list_days,amount_proxy,turnover_rate,total_mv,source,group
600078.SH,澄星股份,化工原料,10549,1197948327.55344,11.4414,1047029.496,,
600088.SH,中视传媒,,,,,,lianban_potential,影视音像
600089.SH,特变电工,电气设备,10558,5387118675.915655,3.9605,13602117.6011,,
600096.SH,云天化,农药化肥,10537,1339116944.6106362,2.2707,5897375.0148,,
600103.SH,青山纸业,,,,,,screenshot_watchlist,造纸
600105.SH,永鼎股份,通信设备,10455,8152697053.768839,10.828,7529273.2303,,
600110.SH,诺德股份,电气设备,10447,1343979740.632476,7.6612,1754267.9223,,
600111.SH,北方稀土,小金属,10460,8669498201.913935,4.4592,19441824.0983,,
600115.SH,中国东航,空运,10418,1661888816.879446,1.8218,9122235.2447,,
600118.SH,中国卫星,航空,10476,6864650608.67586,6.0585,11330610.8916,,
600126.SH,杭钢股份,普钢,10292,1176400251.335621,3.9139,3005698.2839,,
600130.SH,波导股份,元器件,9444,1330901212.5,27.7705,479250.0,,
600141.SH,兴发集团,农药化肥,9830,1203046893.295182,3.1109,3867198.8598,,
600143.SH,金发科技,塑料,7996,1567371660.79875,3.3973,4613580.375,,
600150.SH,中国船舶,船舶,10222,5048632276.764032,1.6544,30516394.3228,,
600152.SH,维科技术,电气设备,10202,1340640942.3759072,18.4553,726425.9819,screenshot_watchlist,电气设备
600156.SH,华升股份,纺织,10215,1640298862.1826358,31.1391,526765.0196,,
600157.SH,永泰能源,火力发电,10229,1389982481.4818697,3.6405,3818108.7254,,
600158.SH,中体产业,文教休闲,10276,2131806523.582528,15.2384,1398970.0517,,
600160.SH,巨化股份,化工原料,10185,3839330013.815938,3.9602,9694788.1769,,
600172.SH,黄河旋风,矿物制品,10032,3532921503.0750604,22.1492,1595056.0305,,
600176.SH,中国巨石,玻璃,9885,7065617268.340468,5.2127,13554620.961,,
600183.SH,生益科技,元器件,10061,5458985880.079177,2.4984,21849927.4739,,
600184.SH,光电股份,专用机械,8226,1665726816.9348257,10.1726,1637464.1851,,
600186.SH,莲花控股,食品,10125,2216695285.463428,11.9581,1853718.6388,,
600188.SH,兖矿能源,煤炭开采,10180,2372010241.5718017,1.1174,21227942.0223,,
600201.SH,生物股份,农业综合,9982,1214729027.12238,7.2842,1667621.739,,
600206.SH,有研新材,半导体,9919,3231678657.477655,12.4835,2588760.0893,,
600208.SH,衢州发展,全国地产,9823,1811518864.930944,4.3537,4160872.0512,,
600211.SH,西藏药业,,,,,,screenshot_watchlist,生物制药
600219.SH,南山铝业,铝,9640,1235344955.419904,2.0608,5994492.2138,,
600230.SH,沧州大化,,,,,,screenshot_watchlist,化工原料
600246.SH,万通发展,区域地产,9366,2963947926.50066,11.461,2586116.3306,,
600256.SH,广汇能源,石油开采,9485,1547498803.99716,3.7828,4090881.897,,
600259.SH,中稀有色,小金属,9486,2196913142.509644,6.7236,3267465.5579,,
600276.SH,恒瑞医药,化学制药,9340,4302975793.733576,1.2008,35834242.1197,,
600292.SH,电投水电,水力发电,9326,2724092636.798756,4.1516,6561548.8891,,
600301.SH,华锡有色,小金属,9438,1788404897.708464,5.0486,3542377.8824,,
600309.SH,万华化学,化工原料,9261,2315691316.623366,0.9042,25610388.3723,,
